date_local,site_number,sample_measurement,samp_dur_hrs
2025-07-28,0007,8.895833333333334,1
2025-07-28,0093,9.90625,1
2025-07-29,0093,11.418750000000001,1
2025-07-29,0094,7.470833333333334,1
2025-07-29,0016,6.0375000000000005,1
2025-07-29,0007,8.775,1
2025-07-29,0085,8.686666666666666,1
2025-07-30,0094,6.972916666666666,1
2025-07-30,0007,10.48235294117647,1
2025-07-30,0016,7.945833333333333,1
2025-07-30,0093,10.547916666666667,1
2025-07-30,0085,6.782222222222222,1
2025-07-31,0016,1.6916666666666667,1
2025-07-31,0094,15.989583333333334,1
2025-07-31,0093,20.260416666666668,1
2025-07-31,0085,19.664583333333333,1
2025-07-31,0007,18.30909090909091,1
2025-08-01,0085,42.204166666666666,1
2025-08-01,0007,22.95,1
2025-08-01,0094,40.18125,1
2025-08-01,0093,43.24583333333334,1
2025-08-01,0016,4.391666666666667,1
2025-08-02,0085,17.9,24
2025-08-02,0094,17.764583333333334,1
2025-08-02,0007,5.791666666666667,1
2025-08-02,0085,19.152083333333334,1
2025-08-02,0093,19.439583333333335,1
2025-08-02,0016,2.654166666666667,1
2025-08-03,0016,2.3272727272727276,1
2025-08-03,0007,-2.3125,1
2025-08-03,0085,7.73125,1
2025-08-03,0093,8.064583333333333,1
2025-08-03,0094,6.770833333333333,1
2025-08-04,0094,6.3062499999999995,1
2025-08-04,0093,6.504166666666666,1
2025-08-04,0085,6.529166666666666,1
2025-08-04,0007,-2.045833333333333,1
2025-08-04,0016,4.383333333333334,1
2025-08-05,0016,6.5625,1
2025-08-05,0085,5.916666666666667,1
2025-08-05,0085,,24
2025-08-05,0093,6.666666666666667,1
2025-08-05,0094,6.113636363636363,1
2025-08-05,0007,-2.529166666666667,1
2025-08-06,0094,9.237499999999999,1
2025-08-06,0093,13.635416666666666,1
2025-08-06,0016,15.15,1
2025-08-06,0007,-0.04166666666666665,1
2025-08-06,0085,10.373333333333333,1
2025-08-07,0016,12.183333333333332,1
2025-08-07,0093,13.622916666666667,1
2025-08-07,0007,1.3791666666666667,1
2025-08-07,0094,9.924999999999999,1
2025-08-07,0085,11.139583333333334,1
2025-08-08,0093,12.747916666666667,1
2025-08-08,0085,8.729166666666666,1
2025-08-08,0085,9.7,24
2025-08-08,0094,8.356250000000001,1
2025-08-08,0016,10.941666666666668,1
2025-08-08,0007,0.15833333333333333,1
2025-08-09,0007,-0.09999999999999996,1
2025-08-09,0085,7.902083333333334,1
2025-08-09,0093,10.564583333333333,1
2025-08-09,0094,7.5687500000000005,1
2025-08-09,0016,6.55,1
2025-08-10,0016,6.941666666666666,1
2025-08-10,0094,6.208333333333333,1
2025-08-10,0093,8.322916666666666,1
2025-08-10,0085,5.879166666666666,1
2025-08-10,0007,-3.3166666666666664,1
2025-08-11,0085,7.5687500000000005,1
2025-08-11,0093,9.610869565217392,1
2025-08-11,0094,8.170833333333333,1
2025-08-11,0016,11.575000000000001,1
2025-08-11,0007,-1.7347826086956522,1
2025-08-12,0016,11.883333333333333,1
2025-08-12,0007,-2.3375,1
2025-08-12,0094,7.575,1
2025-08-12,0093,11.316666666666668,1
2025-08-12,0085,8.206249999999999,1
2025-08-13,0094,8.439583333333333,1
2025-08-13,0016,5.7375,1
2025-08-13,0085,10.4,24
2025-08-13,0007,0.5333333333333333,1
2025-08-13,0093,14.88723404255319,1
2025-08-13,0085,9.217777777777778,1
2025-08-14,0016,9.891666666666667,1
2025-08-14,0094,12.685416666666667,1
2025-08-14,0007,5.229166666666667,1
2025-08-14,0085,13.547916666666666,1
2025-08-14,0085,16.1,24
2025-08-14,0093,16.093617021276597,1
2025-08-15,0094,10.191666666666666,1
2025-08-15,0016,14.004166666666668,1
2025-08-15,0007,4.933333333333334,1
2025-08-15,0085,10.327083333333333,1
2025-08-15,0093,13.629166666666668,1
2025-08-16,0016,11.433333333333332,1
2025-08-16,0007,5.791666666666667,1
2025-08-16,0085,11.80625,1
2025-08-16,0093,13.220833333333333,1
2025-08-16,0094,10.90625,1
2025-08-17,0094,12.168750000000001,1
2025-08-17,0085,13.8,24
2025-08-17,0093,14.527083333333332,1
2025-08-17,0007,4.945833333333334,1
2025-08-17,0085,12.481250000000001,1
2025-08-17,0016,9.15,1
2025-08-18,0007,6.9750000000000005,1
2025-08-18,0085,13.247916666666667,1
2025-08-18,0094,13.745833333333332,1
2025-08-18,0093,16.729166666666668,1
2025-08-18,0016,13.216666666666667,1
2025-08-19,0093,11.460416666666667,1
2025-08-19,0094,9.546511627906977,1
2025-08-19,0007,3.4916666666666667,1
2025-08-19,0016,5.670833333333333,1
2025-08-19,0085,9.82391304347826,1
2025-08-20,0016,2.2545454545454544,1
2025-08-20,0007,-1.075,1
2025-08-20,0085,4.572340425531915,1
2025-08-20,0085,5.9,24
