date,temperature_2m_max,precipitation_sum,precipitation_hours,uv_index_max,wind_speed_10m_max,shortwave_radiation_sum
2025-06-26,93.4378,0.059602648,0.0066225166,7.906623,10.627646,27.372913
2025-06-27,88.918724,13.113908,1.9933774,7.5701985,11.457107,19.179205
2025-06-28,90.286606,0.07549669,0.03311258,7.9033113,11.18831,26.445961
2025-06-29,82.39164,5.430464,2.2317882,6.1788077,7.427252,17.39755
2025-06-30,87.06747,13.728477,1.0596026,7.607616,11.173689,21.094503
2025-07-01,85.31931,0.0,0.0,7.914901,10.214578,30.142914
2025-07-02,88.307205,0.0,0.0,7.9745035,5.1408405,26.586357
2025-07-03,90.71754,0.0,0.0,7.3831124,4.8643436,27.00371
2025-07-04,91.84581,0.15231788,0.0066225166,7.9933777,9.063958,28.300995
2025-07-05,92.03237,0.6721854,0.08609272,7.9016557,9.122516,29.102846
2025-07-06,90.39031,4.809272,0.98013246,7.6003313,13.170955,16.209536
2025-07-07,88.96402,1.7483444,0.13907285,7.8976827,7.317847,26.0353
2025-07-08,88.88296,19.79073,2.2781458,7.8668876,14.889773,20.3851
2025-07-09,87.81608,0.019205298,0.0066225166,7.8781457,6.402537,26.623114
2025-07-10,90.82303,0.0,0.0,7.9291396,7.072718,29.315296
2025-07-11,92.87456,0.017218543,0.026490066,7.849006,11.811903,26.865364
2025-07-12,85.88316,2.7430465,0.90066224,7.431788,13.521954,21.008808
2025-07-13,81.89277,5.382119,2.1324503,4.9533114,8.458972,15.05298
2025-07-14,85.52138,2.2695363,0.25827813,7.090066,5.5839615,16.962847
2025-07-15,88.00382,12.049006,1.0728477,7.724172,8.517735,21.55437
2025-07-16,93.233955,0.3463576,0.09271523,7.81192,12.414129,25.447351
2025-07-17,85.66799,20.756954,1.1390729,7.595695,8.328778,17.844702
2025-07-18,85.28952,0.34437087,0.16556291,7.5721855,7.254355,18.17755
2025-07-19,87.04958,0.93311256,0.24503312,7.819536,10.083053,22.711721
2025-07-20,93.928925,5.150331,0.21854305,7.814901,9.794864,21.491259
2025-07-21,85.49395,63.622517,4.284768,7.143378,13.173159,21.599073
2025-07-22,92.1021,2.8701987,0.14569536,7.7357616,8.067912,25.645496
2025-07-23,95.5984,0.0,0.0,7.7526493,7.316463,27.750399
2025-07-24,94.8319,0.0,0.0,7.7745037,9.484553,28.11523
2025-07-25,94.63938,5.913245,0.39072847,7.7384105,8.549081,23.618212
2025-07-26,91.448265,0.3960265,0.046357617,7.686424,10.339414,25.01669
2025-07-27,91.66223,4.816556,1.0927153,7.5092716,9.373853,24.236755
2025-07-28,93.48428,0.48675495,0.09933775,7.5546355,9.465097,27.26351
2025-07-29,95.20323,0.0,0.0,7.6980133,9.556653,26.357151
2025-07-30,90.46243,1.2609271,0.18543047,7.569536,12.125523,24.295166
2025-07-31,77.717,0.08145695,0.15231788,5.5824504,11.524425,12.252782
2025-08-01,80.72098,0.0,0.0,7.641391,11.731793,26.94073
2025-08-02,79.18204,0.0,0.0,7.611921,10.445726,26.382517
2025-08-03,79.92528,0.0,0.0,7.5645695,7.6462255,25.69159
2025-08-04,83.42515,0.4350993,0.30463576,7.4996686,8.248457,22.525166
2025-08-05,84.9927,0.2602649,0.03311258,7.4562917,6.063434,22.43404
2025-08-06,90.43799,0.0,0.0,7.5102654,8.58721,24.48351
2025-08-07,88.739914,0.9821192,0.92715234,7.4407287,11.031635,22.186224
2025-08-08,93.494415,0.0,0.0,7.5324507,11.282444,26.31828
2025-08-09,92.93654,0.0,0.0,7.5172186,11.050122,23.531458
2025-08-10,88.263695,21.941061,1.4768212,6.6374173,14.029143,16.462385
2025-08-11,89.867,0.0,0.0,7.4460263,7.949479,23.794502
2025-08-12,88.928856,1.0688742,0.4370861,7.339404,10.56739,21.71881
2025-08-13,87.7976,2.3291392,0.26490065,7.3725166,7.110295,20.275827
2025-08-14,90.44753,0.0,0.0,7.3579473,4.955153,22.739073
2025-08-15,95.62223,0.27615896,0.046357617,7.3642383,8.119229,23.66457
2025-08-16,96.45846,4.210596,0.27152318,7.3447022,9.495761,22.087814
2025-08-17,94.8474,1.95298,0.3178808,7.2811255,9.023519,20.96616
2025-08-18,96.09846,4.2655625,0.5033113,7.2864237,10.076367,22.337217
2025-08-19,93.067665,2.4576159,0.13245033,7.236755,11.890561,21.810595
2025-08-20,86.09713,0.7927152,0.1986755,7.2211924,8.746611,22.47331
2025-08-21,78.86376,0.04039735,0.03311258,7.187748,8.263532,19.105827
2025-08-22,83.8513,0.0,0.0,6.950331,6.676675,20.814304
2025-08-23,83.89422,0.0072847684,0.0066225166,5.822848,9.177492,19.182848
2025-08-24,77.70151,0.0,0.0,7.077483,11.700997,25.063643
2025-08-25,73.42799,0.0,0.0,6.872848,11.123328,25.12947
2025-08-26,77.94588,0.0,0.0,6.9019866,7.125373,25.740265
2025-08-27,80.867,0.0,0.0,6.368543,5.519561,24.839338
2025-08-28,83.78157,0.0,0.0,6.5913906,5.3015003,24.64384
2025-08-29,86.01429,0.0,0.0,6.873841,5.73369,24.32788
2025-08-30,83.97528,0.0,0.0,6.849669,9.450273,21.82735
2025-08-31,80.8515,0.0,0.0,5.6933775,9.419626,22.965364
2025-09-01,80.86343,0.0,0.0,6.731788,8.212257,23.509403
2025-09-02,81.5429,0.026490066,0.06622516,6.5748343,5.47946,21.467484
2025-09-03,85.97316,0.074834436,0.12582782,6.6950326,10.862375,22.154768
2025-09-04,75.32336,1.7423842,0.7549669,6.697682,10.423579,23.579735
2025-09-05,73.463165,0.20264901,0.38410595,5.392384,10.368865,16.428278
2025-09-06,76.63521,0.0026490067,0.0066225166,6.575828,9.667046,23.501987
2025-09-07,73.23309,0.0,0.0,6.538742,8.358762,23.983908
2025-09-08,77.02919,0.0,0.0,6.499669,6.294693,23.607151
2025-09-09,80.3878,0.0026490067,0.0066225166,6.4771523,6.997133,22.289934
2025-09-10,88.440704,0.0,0.0,6.4466887,5.3276978,21.524569
2025-09-11,89.86998,0.0,0.0,6.4016557,5.850723,21.115364
2025-09-12,93.20595,0.0,0.0,6.406291,6.333489,21.330662
2025-09-13,95.69555,0.0,0.0,6.4215236,7.067736,20.778345
2025-09-14,96.85243,0.0986755,0.0794702,5.770861,7.32853,20.798742
2025-09-15,92.19687,0.05496689,0.01986755,5.9089403,8.119722,20.43265
2025-09-16,92.553894,0.0,0.0,6.245364,7.64752,21.079138
2025-09-17,91.65687,0.0,0.0,6.200331,5.646031,21.053179
2025-09-18,93.9027,0.17350993,0.09271523,5.9745035,13.008457,20.379206
2025-09-19,85.85812,1.4324503,0.17880794,5.684768,11.574311,19.175299
2025-09-20,84.9617,3.8158941,0.41721854,5.9480133,10.03397,14.928013
2025-09-21,85.9213,0.7092715,0.46357617,5.996358,13.763153,17.851192
2025-09-22,79.87104,3.705298,2.2516556,4.4248347,6.5701537,11.164768
2025-09-23,77.59541,15.415232,3.562914,4.2347684,8.154752,11.198344
2025-09-24,73.861305,5.2490067,2.2119205,5.1678805,9.029963,7.3996687
2025-09-25,77.69733,0.026490066,0.026490066,5.7748346,8.17782,19.077284
