date,temperature_2m_max,precipitation_sum,precipitation_hours,uv_index_max,wind_speed_10m_max,shortwave_radiation_sum,NO2,PM25
2025-07-07,88.96402,1.7483444,0.13907285,7.8976827,7.317847,26.0353,5.616666666666667,7.355416666666668
2025-07-08,88.88296,19.79073,2.2781458,7.8668876,14.889773,20.3851,11.780555555555557,9.370871212121212
2025-07-09,87.81608,0.019205298,0.0066225166,7.8781457,6.402537,26.623114,6.381818181818182,6.082949241299687
2025-07-10,90.82303,0.0,0.0,7.9291396,7.072718,29.315296,10.70618686868687,8.21354368149581
2025-07-11,92.87456,0.017218543,0.026490066,7.849006,11.811903,26.865364,6.801388888888888,9.13125
2025-07-12,85.88316,2.7430465,0.90066224,7.431788,13.521954,21.008808,5.722222222222222,5.11875
2025-07-13,81.89277,5.382119,2.1324503,4.9533114,8.458972,15.05298,9.989015151515153,6.2875
2025-07-14,85.52138,2.2695363,0.25827813,7.090066,5.5839615,16.962847,7.277777777777778,7.404166666666667
2025-07-15,88.00382,12.049006,1.0728477,7.724172,8.517735,21.55437,10.943055555555555,8.026011904761905
2025-07-16,93.233955,0.3463576,0.09271523,7.81192,12.414129,25.447351,8.263888888888888,7.561666666666666
2025-07-17,85.66799,20.756954,1.1390729,7.595695,8.328778,17.844702,7.740277777777777,6.06090579710145
2025-07-18,85.28952,0.34437087,0.16556291,7.5721855,7.254355,18.17755,7.754589371980676,8.583333333333332
2025-07-19,87.04958,0.93311256,0.24503312,7.819536,10.083053,22.711721,6.604166666666667,9.7875
2025-07-20,93.928925,5.150331,0.21854305,7.814901,9.794864,21.491259,3.9002525252525246,9.096250000000001
2025-07-21,85.49395,63.622517,4.284768,7.143378,13.173159,21.599073,8.213888888888889,5.349166666666667
2025-07-22,92.1021,2.8701987,0.14569536,7.7357616,8.067912,25.645496,9.97777777777778,11.643067375886524
2025-07-23,95.5984,0.0,0.0,7.7526493,7.316463,27.750399,7.540674603174604,13.471821428571428
